area_name_id_parent,salary_from,salary_to,salary_mean,count
1,71648.57,100487.5,81707.08,140881
1008,48107.23,65345.03,53773.86,5551
1020,44303.44,59399.92,48886.71,5746
1041,59878.75,86092.18,66964.3,3277
1051,46955.38,59687.86,52230.88,3909
1061,52136.53,67046.74,57950.75,5141
1077,46179.22,59180.49,51315.85,3222
1090,47153.43,59785.9,52596.65,3617
1103,47427.91,59832.57,52071.84,4825
1118,56431.37,77689.56,60700.64,3959
1124,58599.07,84791.78,65685.32,14971
1146,57908.24,76974.07,64131.09,18975
1169,55785.89,73960.59,58760.18,399
1174,68817.11,87454.59,73053.45,2322
1187,51846.21,71464.87,57821.46,2105
1192,68853.5,87952.14,73233.42,3029
1202,53695.82,72122.14,60068.39,25296
1216,44841.15,61548.72,48494.63,1074
1217,43830.73,63988.6,49100.58,13786
1229,47980.54,62888.85,52906.54,16838
1249,53791.08,70499.55,58967.03,12407
1255,49687.26,66036.29,54650.43,7958
1261,51131.36,68252.16,56858.76,44376
1308,50173.27,65523.9,54276.63,3965
1317,50845.55,66889.12,56379.68,16765
1342,57495.74,74372.92,62938.81,13277
1347,58656.54,75287.0,64456.97,26105
1368,58166.3,76289.04,64346.13,9484
1384,51162.19,64601.66,56174.01,27794
1414,69867.95,88997.84,74883.66,3646
1422,36829.51,44007.05,40052.91,1681
1424,43569.17,61134.54,49454.94,2059
1434,45974.17,61478.38,49020.62,380
1438,60024.21,92169.42,70718.04,44098
145,48394.67,57786.19,52761.7,14185
1463,44822.48,56564.72,49001.94,886
1471,42984.18,49126.73,45375.79,771
1475,40557.82,51001.87,44536.33,1062
1481,40080.95,56516.8,45246.11,11544
1500,49431.87,68237.82,54632.0,633
1505,46951.36,59981.53,50952.34,4748
1511,46528.73,60820.36,51627.24,14447
1530,45361.11,59981.9,50661.27,29959
1553,45452.27,56397.51,49078.68,742
1556,48366.03,60503.99,53299.51,3028
1563,54084.72,72192.24,59675.94,8256
1575,44742.96,56817.36,48552.97,7434
1586,49894.73,66060.7,55648.96,22024
1596,44191.27,58094.2,49145.31,13466
1614,48744.31,65033.35,53252.52,6991
1620,46771.97,57387.61,50309.19,2844
1624,51186.6,70149.27,57367.1,34743
1646,46683.2,61386.58,51792.98,9939
1652,46731.58,61346.05,51069.36,7728
1661,43956.34,60664.88,48481.73,6894
1679,48638.74,65310.78,54098.58,26494
1704,48028.01,67189.33,54245.62,7000
1716,47632.55,62507.74,52586.11,10916
1739,46124.42,64603.57,52021.65,6302
1754,40853.38,53213.57,45950.5,7125
1771,41277.73,55589.61,44831.86,4578
1783,49968.03,65335.7,55510.99,8483
1806,46737.51,63087.39,51459.03,10723
1817,46644.7,60777.0,50941.04,9298
1828,46403.01,61341.79,51753.48,5996
1844,45773.76,61394.81,50895.06,18468
1859,50719.69,66548.1,56657.49,7841
1880,44067.59,61200.82,48606.99,5874
1890,46127.77,57396.57,50235.88,7209
1898,45264.99,62358.98,51001.94,4095
1905,45445.72,57025.58,49091.45,4756
1913,48794.18,61040.87,53324.83,11698
1932,66952.25,80636.45,70855.7,4441
1941,50683.66,64865.39,55336.06,652
1943,59985.5,82839.42,65145.29,1134
1946,68267.68,90418.91,73618.8,859
1948,57467.18,75407.31,63528.09,11608
1960,60777.92,79212.91,65704.45,2186
1975,58523.89,73280.65,63713.86,8622
1982,59243.79,150884.93,78373.38,169
1985,58163.88,80726.35,60140.99,226
2,60217.56,82797.22,67966.87,72781
2019,55368.71,71380.29,60658.54,78510
2114,48603.1,75610.43,55455.37,4950
2134,44704.08,97869.99,69460.7,59
2155,50036.92,135468.28,101627.67,35
2173,42022.25,84462.22,63362.22,36
2209,42838.56,106829.85,53451.47,14
