id;name;name_old;cartodb_id
1217;Алтайский край;Алтайский край;17
1932;Амурская область;Амурская область;81
1008;Архангельская область;Архангельская область;2
1505;Астраханская область;Астраханская область;33
1817;Белгородская область;Белгородская область;26
1828;Брянская область;Брянская область;27
1716;Владимирская область;Владимирская область;22
1511;Волгоградская область;Волгоградская область;29
1739;Вологодская область;Вологодская область;55
1844;Воронежская область;Воронежская область;16
1941;Еврейская АО;Еврейская автономная область;80
1192;Забайкальский край;Забайкальский край;9
1754;Ивановская область;Ивановская область;57
1124;Иркутская область;Иркутская область;82
1463;Кабардино-Балкарская республика;Кабардино-Балкарская республика;36
1020;Калининградская область;Калининградская область;47
1859;Калужская область;Калужская область;64
1943;Камчатский край;Камчатский край;8
1471;Карачаево-Черкесская Республика;Карачаево-Черкесская республика;13
1229;Кемеровская область;Кемеровская область;78
1661;Кировская область;Кировская область;52
1771;Костромская область;Костромская область;53
1438;Краснодарский край;Краснодарский край;39
1146;Красноярский край;Красноярский край;69
1308;Курганская область;Курганская область;1
1880;Курская область;Курская область;5
145;Ленинградская область;Ленинградская область;46
1890;Липецкая область;Липецкая область;6
1946;Магаданская область;Магаданская область;7
1;Москва;Москва;42
2019;Московская область;Московская область;23
1061;Мурманская область;Мурманская область;43
1985;Ненецкий АО;Ненецкий автономный округ;3
1679;Нижегородская область;Нижегородская область;62
1051;Новгородская область;Новгородская область;4
1202;Новосибирская область;Новосибирская область;19
1249;Омская область;Омская область;21
1563;Оренбургская область;Оренбургская область;30
1898;Орловская область;Орловская область;51
1575;Пензенская область;Пензенская область;28
1317;Пермский край;Пермский край;56
1948;Приморский край;Приморский край;12
1090;Псковская область;Псковская область;44
1422;Республика Адыгея;Адыгея;37
1216;Республика Алтай;Алтай;77
1347;Республика Башкортостан;Башкортостан;61
1118;Республика Бурятия;Бурятия;10
1424;Республика Дагестан;Дагестан;14
1434;Республика Ингушетия;Ингушетия;34
1553;Республика Калмыкия;Республика Калмыкия;38
1077;Республика Карелия;Республика Карелия;83
1041;Республика Коми;Республика Коми;25
1620;Республика Марий Эл;Марий Эл;60
1556;Республика Мордовия;Республика Мордовия;48
1174;Республика Саха (Якутия);Республика Саха (Якутия);67
1475;Республика Северная Осетия-Алания;Северная Осетия - Алания;35
1624;Республика Татарстан;Татарстан;50
1169;Республика Тыва;Тыва;76
1187;Республика Хакасия;Республика Хакасия;75
1530;Ростовская область;Ростовская область;40
1704;Рязанская область;Рязанская область;74
1586;Самарская область;Самарская область;31
2;Санкт-Петербург;Санкт-Петербург;45
1596;Саратовская область;Саратовская область;41
1960;Сахалинская область;Сахалинская область;11
1261;Свердловская область;Свердловская область;72
1103;Смоленская область;Смоленская область;58
1481;Ставропольский край;Ставропольский край;15
1905;Тамбовская область;Тамбовская область;73
1783;Тверская область;Тверская область;54
1255;Томская область;Томская область;18
1913;Тульская область;Тульская область;65
1342;Тюменская область;Тюменская область;20
1646;Удмуртская Республика;Удмуртская республика;59
1614;Ульяновская область;Ульяновская область;63
1975;Хабаровский край;Хабаровский край;79
1368;Ханты-Мансийский АО - Югра;Ханты-Мансийский автономный округ - Югра;71
1384;Челябинская область;Челябинская область;24
1500;Чеченская республика;Чеченская республика;32
1652;Чувашская Республика;Чувашия;49
1982;Чукотский АО;Чукотский автономный округ;68
1414;Ямало-Ненецкий АО;Ямало-Ненецкий автономный округ;70
1806;Ярославская область;Ярославская область;66
